NumEstacao,NomeEntidade,EnderecoEstacao,SiglaUf,CodMunicipio,NomeMunicipio,Latitude,Longitude,2G,3G,4G,5G
1000396700,VIVO,RUA JOSE FERNANDES XAVIER S/N S/N - FAZENDA CATALÃO,MG,3122306,Divinópolis,20S0831,44W5518,,SIM,SIM,SIM
1001389481,TIM,Rua Boston S/N,MG,3122306,Divinópolis,20S0954,44W5101,,SIM,SIM,SIM
1001406629,TIM,RUA MG 050 S/N,MG,3122306,Divinópolis,20S0929,44W5518,,SIM,SIM,
1001626548,TIM,RUA MANAUS 101,MG,3122306,Divinópolis,20S0959,44W5244,,SIM,SIM,SIM
1001707505,VIVO,Rua Benedito Gonçalves 2481,MG,3122306,Divinópolis,20S0741,44W5034,,SIM,SIM,
1002544324,VIVO,RUA RINALDO FABRINOS/NSão José,MG,3122306,Divinópolis,20S1050,44W5524,,,SIM,
1002544731,VIVO,Rua Epaminondas de AssisS/NChanadour,MG,3122306,Divinópolis,20S1040,44W5435,,,SIM,
1002544812,VIVO,Rua Omar Ferreira da Costa71Vivendas da Exposição,MG,3122306,Divinópolis,20S1017,44W5504,,,SIM,
1002544901,VIVO,Rodovia MG-050S/NPlanalto,MG,3122306,Divinópolis,20S0916,44W5446,,,SIM,
1002545053,VIVO,Rua Coelho Neto315São José,MG,3122306,Divinópolis,20S0911,44W5402,,,SIM,
1002545215,VIVO,Avenida Amazonas532Vila Belo Horizonte,MG,3122306,Divinópolis,20S0835,44W5348,,,SIM,
1002545258,VIVO,Rua Estanho110Niterói,MG,3122306,Divinópolis,20S0826,44W5242,,,SIM,
1002545274,VIVO,Rua João Machado PrimoS/NSão Roque,MG,3122306,Divinópolis,20S0807,44W5520,,,SIM,
1002545355,VIVO,Rua OitoS/NGrajaú,MG,3122306,Divinópolis,20S0759,44W5048,,,SIM,
1002545363,VIVO,Rua InterlagosS/NManoel Valinhas,MG,3122306,Divinópolis,20S0749,44W5147,,,SIM,
1002545371,VIVO,Avenida Capitão SilvaS/NJardim Nova América,MG,3122306,Divinópolis,20S0744,44W5340,,,SIM,
1002545428,VIVO,Rua Antônio Cezário Azevedo618Bom Pastor,MG,3122306,Divinópolis,20S0713,44W5308,,,SIM,
